#{"t_start": 1693147490.012485, "env_id": "gym_examples/Schedule-v0"}
r,l,t
-638.0,190,725.675195
-41,48,725.884524
-20,42,726.065217
-20,205,726.924145
-53,75,727.251138
-30,80,727.590779
-46,56,727.833169
-1302.0,123,728.373101
-21,63,728.640546
-24,59,728.891798
-30,192,729.695634
-56,111,730.177563
-31,91,730.56306
-20,22,730.657686
-24,126,731.185959
-59,262,732.286196
-141,234,733.300646
-1379.0,444,735.285179
-156,221,736.276507
-46,92,736.681088
-248.0,209,737.598861
-1475.0,433,739.533653
-128,206,740.428927
-23,268,741.585694
-107,217,742.548457
-46,145,743.187591
-274,336,744.695566
-18,117,745.195025
-129,302,746.506227
-26,41,746.68436
-21,110,747.154067
-28,89,747.548702
-18,67,747.836258
-25,46,748.031478
-38,247,749.092419
-19,112,749.576274
-40,140,750.187835
-171,202,751.073387
-32,41,751.251972
-179,219,752.221651
-25,57,752.465788
-28,79,752.803677
-94.0,196,753.665452
-28,126,754.206833
-39,80,754.549569
-39,85,754.918604
-30,75,755.243312
-529.0,557,757.791869
-19,37,757.956789
-19,55,758.197217
-22,35,758.351238
-174,288,759.593402
-48,219,760.522434
-52,110,782.673516
-39,75,782.984334
-299,332,784.401107
-86,89,784.796723
-604,655,787.778625
-24,364,789.362488
-42,262,790.50847
-22,23,790.612211
-39,67,790.912394
-38.0,77,791.267694
-106,134,791.876112
-109,120,792.424416
-101,157,793.139547
-21,45,793.339106
-17,34,793.490244
-165.0,151,794.179893
-64,74,794.515215
-21,53,794.754498
-18,32,794.898803
-27.0,156,795.591589
-1968.0,828,799.483054
-53.0,163,800.21494
-178,304,801.611442
-56,161,802.326955
-48,53,802.569057
-77,93,802.992803
-212,277,804.247613
-18,209,805.171793
-30,55,805.416166
-67,107,805.899389
-25,40,806.078777
-18,136,806.671877
-2426.0,651,809.700173
-661.0,228,810.709782
-22,192,811.549733
-43,45,811.753195
-25,200,812.628009
-34,277,813.849063
-2149.0,1229,819.620974
-44,133,820.22272
-24.0,92,820.629911
-91,169,821.389436
-22,46,821.593858
-115,268,822.792268
-246,288,824.124408
-20,22,824.224898
-21,73,824.551787
-19,111,825.041412
-92,110,825.548699
-35,387,827.237968
-125.0,140,849.557425
-83,117,850.051016
-159,207,850.929945
-20,39,851.093633
-44,148,851.719099
